Rank,Player
1,Novak Djokovic
2,Carlos Alcaraz
3,Daniil Medvedev
4,Jannik Sinner
5,Stefanos Tsitsipas
6,Holger Rune
7,Andrey Rublev
8,Taylor Fritz
9,Casper Ruud
10,Karen Khachanov
11,Alexander Zverev
12,Felix Auger Aliassime
13,Cameron Norrie
14,Grigor Dimitrov
15,Frances Tiafoe
16,Hubert Hurkacz
17,Nick Kyrgios
18,Jack Draper
19,Rafael Nadal
20,Francisco Cerundolo
21,Borna Coric
22,Alex De Minaur
23,Tommy Paul
24,Alejandro Davidovich Fokina
25,Andy Murray
26,Pablo Carreno Busta
27,Lorenzo Musetti
28,Matteo Berrettini
29,Lorenzo Sonego
30,Cristian Garin
31,Nicolas Jarry
32,Emil Ruusuvuori
33,Tomas Martin Etcheverry
34,Jan Lennard Struff
35,Yoshihito Nishioka
36,Denis Shapovalov
37,Roberto Bautista Agut
38,Jenson Brooksby
39,Sebastian Korda
40,Ugo Humbert
41,Botic Van De Zandschulp
42,John Isner
43,Jiri Lehecka
44,Arthur Fils
45,Stan Wawrinka
46,Brandon Nakashima
47,Tallon Griekspoor
48,Thanasi Kokkinakis
49,Yannick Hanfmann
50,Matteo Arnaldi
51,Yibing Wu
52,Alex Molcan
53,Marton Fucsovics
54,Benjamin Bonzi
55,Soon Woo Kwon
56,Marin Cilic
57,J J Wolf
58,Dusan Lajovic
59,Aslan Karatsev
60,Marcos Giron
61,Mikael Ymer
62,David Goffin
63,Bernabe Zapata Miralles
64,Miomir Kecmanovic
65,Roman Safiullin
66,Corentin Moutet
67,Laslo Djere
68,Daniel Evans
69,Quentin Halys
70,Kamil Majchrzak
71,Sebastian Ofner
72,Daniel Altmaier
73,Gregoire Barrere
74,Nuno Borges
75,Richard Gasquet
76,Diego Schwartzman
77,Fabio Fognini
78,Leandro Riedi
79,Roberto Carballes Baena
80,Dominic Thiem
81,Arthur Rinderknech
82,Ilya Ivashka
83,Alexander Shevchenko
84,Sebastian Baez
85,Jordan Thompson
86,Christopher Eubanks
87,Filip Krajinovic
88,Dominik Koepfer
89,Luca Van Assche
90,Mackenzie Mcdonald
91,Jason Kubler
92,Juan Pablo Varillas
93,Adrian Mannarino
94,Alexander Bublik
95,Alexei Popyrin
96,Yosuke Watanuki
97,Dominic Stricker
98,Max Purcell
99,Christopher Oconnell
100,Taro Daniel
101,Constant Lestienne
102,Pedro Cachin
103,Lloyd Harris
104,Alejandro Tabilo
105,Maxime Cressy
106,Hugo Dellien
107,Andrea Vavassori
108,Guido Pella
109,Facundo Diaz Acosta
110,Thiago Seyboth Wild
111,Jack Sock
112,Jaume Munar
113,Aleksandar Vukic
114,Hamad Medjedovic
115,Borna Gojo
116,Thiago Monteiro
117,Ben Shelton
118,Tomas Machac
119,Kyle Edmund
120,Jurij Rodionov
121,John Millman
122,Marco Cecchinato
123,Zhizhen Zhang
124,Tim Van Rijthoven
125,Vasek Pospisil
126,Albert Ramos
127,Pavel Kotov
128,Alexandre Muller
129,Ricardas Berankis
130,Michael Mmoh
131,Zsombor Piros
132,Nicolas Moreno De Alboran
133,Jiri Vesely
134,Daniel Elahi Galan
135,Marc Andrea Huesler
136,Pablo Llamas Ruiz
137,Federico Coria
138,Radu Albot
139,Jakub Mensik
140,Liam Broady
141,Oscar Otte
142,Juan Manuel Cerundolo
143,Tomas Barrios Vera
144,Dennis Novak
145,Giulio Zeppieri
146,Pedro Martinez
147,Mark Lajal
148,Francisco Comesana
149,Andreas Seppi
150,Ivan Gakhov
151,Gabriel Diallo
152,Mate Valkusz
153,Juncheng Shang
154,Lucas Pouille
155,Filip Misolic
156,Nikoloz Basilashvili
157,Hugo Gaston
158,Elias Ymer
159,Denis Kudla
160,Zizou Bergs
161,Gilles Simon
162,Thiago Agustin Tirante
163,Pierre Hugues Herbert
164,Facundo Bagnis
165,Fabian Marozsan
166,Aleksandar Kovacevic
167,Federico Delbonis
168,Benoit Paire
169,Maximilian Marterer
170,Lukas Klein
171,Norbert Gombos
172,Feliciano Lopez
173,Jesper De Jong
174,Flavio Cobolli
175,Dalibor Svrcina
176,Steve Johnson
177,Mikhail Kukushkin
178,Otto Virtanen
179,Henri Laaksonen
180,Sho Shimabukuro
181,Fernando Verdasco
182,Genaro Alberto Olivieri
183,Pablo Andujar
184,Felipe Meligeni Alves
185,Tennys Sandgren
186,Laurent Lokoli
187,Nicolas Kicker
188,Marco Trungelliti
189,Timofey Skatov
190,Arthur Cazaux
191,Camilo Ugo Carabelli
192,Damir Dzumhur
193,Dino Prizmic
194,Adrian Andreev
195,Brandon Holt
196,James Duckworth
197,Jan Choinski
198,Cem Ilkel
199,Peter Gojowczyk
200,Bu Yunchaokete
201,Alejandro Moro Canas
202,Geoffrey Blancaneaux
203,Sumit Nagal
204,Andrea Pellegrino
205,Enzo Couacaud
206,Pedro Sousa
207,Luca Nardi
208,Alexander Ritschard
209,Alessandro Giannessi
210,Ryan Harrison
211,Cedrik Marcel Stebe
212,Gastao Elias
213,Rinky Hijikata
214,Carlos Taberner
215,Mats Moraing
216,Antoine Escoffier
217,Hugo Grenier
218,Francesco Passaro
219,Emilio Gomez
220,Zdenek Kolar
221,Gijs Brouwer
222,Bjorn Fratangelo
223,Marc Polmans
224,Zachary Svajda
225,Frederico Ferreira Silva
226,Evan Furness
227,Alex Michelsen
228,Stefano Travaglia
229,Riccardo Bonadio
230,Joao Sousa
231,Abedallah Shelbayh
232,Ernests Gulbis
233,Guido Andreozzi
234,Dimitar Kuzmanov
235,Robin Haase
236,Oleksii Krutykh
237,Jozef Kovalik
238,Alexandar Lazarov
239,Harold Mayot
240,Dragos Nicolae Madaras
241,Gianluca Mager
242,Gauthier Onclin
243,Stefan Kozlov
244,Emilio Nava
245,Gerald Melzer
246,Roman Andres Burruchaga
247,Nicolas Alvarez Varona
248,Shintaro Mochizuki
249,Yasutaka Uchiyama
250,Alastair Gray
251,Andrea Collarini
252,Giovanni Mpetshi Perricard
253,Beibit Zhukayev
254,Vit Kopriva
255,Seong Chan Hong
256,Evgeny Donskoy
257,Bradley Klahn
258,Matheus Pucinelli De Almeida
259,Vitaliy Sachko
260,Tung Lin Wu
261,Kimmer Coppejans
262,Matteo Gigante
263,Yuta Shimizu
264,Marius Copil
265,Raphael Collignon
266,Joris De Loore
267,Yuichi Sugita
268,Federico Gaio
269,Nerman Fatic
270,Benjamin Hassan
271,Santiago Fa Rodriguez Taverna
272,Thai Son Kwiatkowski
273,Illya Marchenko
274,Franco Agamenone
275,Jason Jung
276,Jelle Sels
277,Mathias Bourgue
278,Alex Bolt
279,Mitchell Krueger
280,Marko Topo
281,Kaichi Uchida
282,Ernesto Escobedo
283,Nicola Kuhn
284,Chun Hsin Tseng
285,Giovanni Fonio
286,Ryan Peniston
287,Patrick Kypson
288,Nicholas David Ionel
289,Lukas Rosol
290,Altug Celikbilek
291,Maximilian Neuchrist
292,Calvin Hemery
293,Alex Rybakov
294,Lorenzo Giustino
295,Alexis Galarneau
296,Nino Serdarusic
297,Evgeny Karlovskiy
298,Renzo Olivo
299,Alvaro Lopez San Martin
300,Javier Barranco Cosano
301,Michael Geerts
302,Salvatore Caruso
303,Luciano Darderi
304,Antoine Bellier
305,James Mccabe
306,Mattia Bellucci
307,Paul Jubb
308,Aziz Dougaz
309,Raul Brancaccio
310,Steven Diez
311,Roberto Marcora
312,Jonas Forejtek
313,Ramkumar Ramanathan
314,Ji Sung Nam
315,Akira Santillan
316,Yunseong Chung
317,Dmitry Popko
318,Gian Marco Moroni
319,Valentin Royer
320,Daniel Masur
321,Nick Hardt
322,Nikola Milojevic
323,Francesco Maestrelli
324,Maks Kasnikowski
325,Duje Ajdukovic
326,Facundo Mena
327,Tristan Schoolkate
328,Govind Nanda
329,Kyrian Jacquet
330,Prajnesh Gunneswaran
331,Miljan Zekic
332,Li Tu
333,Dominik Palan
334,Dan Added
335,Terence Atmane
336,Juan Pablo Ficovich
337,Kenny De Schepper
338,Alexander Weis
339,Daniel Michalski
340,Filip Horansky
341,Mariano Navone
342,Jay Clarke
343,Andrea Arnaboldi
344,Yu Hsiou Hsu
345,Edoardo Lavagno
346,Kacper Zuk
347,Adam Walton
348,Nicolas Mejia
349,Clement Chidekh
350,Moez Echargui
351,Titouan Droguet
352,Filip Cristian Jianu
353,Ugo Blanchet
354,Maxime Janvier
355,Nam Hoang Ly
356,Lucas Gerch
357,Max Houkes
358,Mirza Basic
359,Edan Leshem
360,Juan Bautista Torres
361,Evan Zhu
362,Hernan Casanova
363,Lucas Miedler
364,Luke Saville
365,Ulises Blanch
366,Joao Lucas Reis Da Silva
367,Viktor Durasovic
368,Max Hans Rehberg
369,Hady Habib
370,Clement Tabur
371,Matteo Martineau
372,Roberto Quiroz
373,Juan Bautista Otegui
374,Nicolas Alvarez
375,Oliver Crawford
376,Christian Langmo
377,Gonzalo Bueno
378,Ergi Kirkin
379,Daniel Cox
380,Omar Jasika
381,Aidan Mchugh
382,Goncalo Oliveira
383,Remy Bertola
384,Louis Wessels
385,Nick Chappell
386,Pol Martin Tiffon
387,Billy Harris
388,Dane Sweeny
389,Alexey Vatutin
390,Rudolf Molleker
391,Daniel Rincon
392,Elmar Ejupovic
393,Mateus Alves
394,Manuel Guinard
395,Facundo Juarez
396,Johan Nikles
397,Murkel Alejandro Dellien Velasco
398,Carlos Sanchez Jover
399,Alibek Kachmazov
400,Gabriel Debru
401,Pedro Boscardin Dias
402,Malek Jaziri
403,Arklon Huertas Del Pino
404,Nikolas Sanchez Izquierdo
405,Eduardo Ribeiro
406,Rio Noguchi
407,Hiroki Moriya
408,Benjamin Lock
409,Henri Squire
410,Marek Gengel
411,Giovanni Oradini
412,Gabriel Decamps
413,Mats Rosenkranz
414,Oriol Roca Batalla
415,Andrew Paulson
416,Denis Yevseyev
417,Daniel Dutra Da Silva
418,Joao Domingues
