,Tournois,Player 1,Player 2,Score,Odds Player 1,Odds Player 2,Rank Player 1,Rank Player 2
0,United Cup,Gojo,Coria,2,1.34,3.22,115.0,137.0
1,United Cup,Evans,Ramos-Vinolas,2,1.26,3.84,68.0,
2,United Cup,Hurkacz,Bublik,2,1.35,3.19,16.0,94.0
3,United Cup,Kuzmanov,Bergs,2,2.13,1.71,234.0,160.0
4,United Cup,Otte,Svrcina,2,1.41,2.87,141.0,175.0
5,United Cup,Ruud,Monteiro,2,1.13,5.74,9.0,116.0
6,Adelaide,McDonald,Galan,1,1.37,3.12,,
7,Adelaide,Giron,Gasquet,2,1.91,1.90,60.0,75.0
8,Futures 2022,Bobrov,Catarina,2,1.96,1.75,,
9,Adelaide,Hijikata,Duckworth,2,2.12,1.68,213.0,196.0
10,Adelaide,Kwon,Daniel,2,1.49,2.52,,100.0
11,Adelaide,Safiullin,Pospisil,2,1.74,2.03,65.0,125.0
12,Adelaide,Popyrin,Wu,2,2.23,1.62,95.0,51.0
13,Canberra challenger,Krutykh,Elias,2,1.80,1.90,236.0,212.0
14,Canberra challenger,Muller,Holt,2,2.18,1.61,128.0,195.0
15,Canberra challenger,Pellegrino,Jones,2,1.14,4.94,204.0,
16,Canberra challenger,Broady,Galarneau,2,1.57,2.24,140.0,295.0
17,Canberra challenger,Schoolkate,Kukushkin,2,3.21,1.31,327.0,177.0
18,Canberra challenger,Nava,Camus,2,1.02,11.71,244.0,
19,Canberra challenger,Ofner,Furness,2,1.44,2.60,71.0,226.0
20,Canberra challenger,Bellier,Bolt,2,1.49,2.49,304.0,278.0
21,Canberra challenger,Krueger,Laaksonen,2,1.60,2.19,279.0,179.0
22,Canberra challenger,Couacaud,Walton,2,1.25,3.65,205.0,347.0
23,Canberra challenger,Diallo,Shang,2,1.79,1.92,151.0,153.0
24,Canberra challenger,Maestrelli,Zeppieri,2,1.84,1.85,323.0,145.0
25,Nonthaburi challenger,Fonio,Kumar,2,1.49,2.49,285.0,
26,Nonthaburi challenger,Kelly,Fomin,2,2.03,1.71,,
27,Nonthaburi challenger,Gaio,Chaiyarin,2,1.01,13.47,268.0,
28,Nonthaburi challenger,Parker,Samrej,2,1.26,3.49,,439.0
29,Nonthaburi challenger,Donskoy,Kunsuwan,2,1.01,12.97,256.0,
30,Nonthaburi challenger,Vrbensky,Clark,2,1.44,2.59,,
31,Nonthaburi challenger,Squire,Trongcharoenchaikul,2,1.10,6.00,409.0,
32,Nonthaburi challenger,Pouille,Berrettini,2,1.19,4.22,154.0,28.0
33,Nonthaburi challenger,Santillan,Rosenkranz,2,2.05,1.69,315.0,413.0
34,Nonthaburi challenger,Nam,Ovcharenko,2,2.16,1.63,,
35,Nonthaburi challenger,Ayeni,Oradini,2,2.00,1.72,,411.0
36,Nonthaburi challenger,Perez,Harris,2,1.85,1.85,,103.0
37,Nonthaburi challenger,Perez,Harris,2,1.85,1.85,,387.0
38,Noumea challenger,Mott,Taylor,2,1.02,9.86,,
39,Noumea challenger,Walkin,Boivin,2,1.01,16.21,,
40,Noumea challenger,Jin,Harper,2,1.05,8.24,,
41,Noumea challenger,Brown,Lopes,2,1.01,10.32,,
42,Noumea challenger,Delaney,Delaney,2,1.24,3.63,,
43,Noumea challenger,Uesugi,Osmont,2,1.01,12.18,,
44,Oeiras 5 challenger,Ilkel,Araujo,2,1.10,6.02,198.0,
45,Oeiras 5 challenger,Fanselow,Coelho,2,1.16,4.48,429.0,
46,Oeiras 5 challenger,Kachmazov,Legout,2,1.41,2.72,399.0,
47,Oeiras 5 challenger,De,Gutierrez,2,1.22,3.89,,
48,Oeiras 5 challenger,Molleker,Beaupain,2,1.30,3.28,390.0,
49,Oeiras 5 challenger,Leshem,Rocha,2,1.35,2.94,359.0,
50,Oeiras 5 challenger,Lamasine,Vatutin,2,2.02,1.70,,389.0
51,Oeiras 5 challenger,Holmgren,Kirkin,2,1.50,2.44,,378.0
52,Oeiras 5 challenger,Lajal,Rocha,2,1.11,5.69,147.0,
53,Oeiras 5 challenger,Marie,Vincent,2,1.49,2.47,,
54,Oeiras 5 challenger,de,Friberg,2,1.68,2.06,,
55,Oeiras 5 challenger,Prizmic,Janvier,2,1.64,2.13,193.0,354.0
56,Pune,Ymer,Bhambri,2,1.62,2.20,61.0,
57,Pune,Ymer,Bhambri,2,1.62,2.20,158.0,
58,Pune,Cobolli,Kolar,2,1.46,2.59,174.0,220.0
59,Pune,Marterer,Milojevic,2,1.44,2.62,169.0,322.0
60,Pune,Ramanathan,Bellucci,2,2.73,1.42,313.0,306.0
61,United Cup,Coric,Rinderknech,2,1.52,2.47,21.0,81.0
62,United Cup,Huesler,Michalski,2,1.11,6.54,,339.0
63,United Cup,De,Nadal,2,2.53,1.50,,19.0
64,United Cup,Tsitsipas,Goffin,2,1.14,5.37,5.0,62.0
65,United Cup,Musetti,Durasovic,2,1.05,9.72,27.0,367.0
66,United Cup,Fritz,Zverev,2,1.45,2.69,8.0,11.0
